datetime,location_id,pickup_demand,dropoff_demand
2023-05-01 13:00:00,132,49.0,25.0
2023-05-01 13:00:00,138,91.0,27.0
2023-05-01 13:00:00,142,55.0,53.0
2023-05-01 13:00:00,161,64.0,86.0
2023-05-01 13:00:00,162,41.0,34.0
2023-05-01 13:00:00,170,47.0,48.0
2023-05-01 13:00:00,186,36.0,29.0
2023-05-01 13:00:00,230,45.0,38.0
2023-05-01 13:00:00,236,73.0,83.0
2023-05-01 13:00:00,237,98.0,81.0
2023-05-01 13:15:00,132,62.0,14.0
2023-05-01 13:15:00,138,78.0,33.0
2023-05-01 13:15:00,142,55.0,54.0
2023-05-01 13:15:00,161,61.0,71.0
2023-05-01 13:15:00,162,50.0,40.0
2023-05-01 13:15:00,170,37.0,57.0
2023-05-01 13:15:00,186,49.0,22.0
2023-05-01 13:15:00,230,37.0,42.0
2023-05-01 13:15:00,236,61.0,74.0
2023-05-01 13:15:00,237,88.0,87.0
2023-05-01 13:30:00,132,64.0,21.0
2023-05-01 13:30:00,138,83.0,30.0
2023-05-01 13:30:00,142,47.0,46.0
2023-05-01 13:30:00,161,68.0,63.0
2023-05-01 13:30:00,162,40.0,48.0
2023-05-01 13:30:00,170,45.0,49.0
2023-05-01 13:30:00,186,31.0,29.0
2023-05-01 13:30:00,230,38.0,51.0
2023-05-01 13:30:00,236,72.0,66.0
2023-05-01 13:30:00,237,110.0,93.0
2023-05-01 13:45:00,132,51.0,25.0
2023-05-01 13:45:00,138,76.0,27.0
2023-05-01 13:45:00,142,47.0,47.0
2023-05-01 13:45:00,161,81.0,77.0
2023-05-01 13:45:00,162,75.0,47.0
2023-05-01 13:45:00,170,38.0,31.0
2023-05-01 13:45:00,186,74.0,28.0
2023-05-01 13:45:00,230,38.0,51.0
2023-05-01 13:45:00,236,69.0,78.0
2023-05-01 13:45:00,237,88.0,100.0
2023-05-01 14:00:00,132,56.0,36.0
2023-05-01 14:00:00,138,85.0,22.0
2023-05-01 14:00:00,142,58.0,52.0
2023-05-01 14:00:00,161,89.0,69.0
2023-05-01 14:00:00,162,59.0,39.0
2023-05-01 14:00:00,170,39.0,35.0
2023-05-01 14:00:00,186,50.0,31.0
2023-05-01 14:00:00,230,37.0,55.0
2023-05-01 14:00:00,236,76.0,79.0
2023-05-01 14:00:00,237,109.0,89.0
2023-05-01 14:15:00,132,98.0,55.0
2023-05-01 14:15:00,138,88.0,26.0
